Test Start
Normal test...
982602241 100 0
996868965 200 0
996868965 300 0
998445800 400 0
999728643 500 0
999728643 600 0
999728643 700 0
999728643 800 0
999728643 900 0
999728643 1000 0
999728643 1100 0
999728643 1200 0
999728643 1300 0
999728643 1400 0
999728643 1500 0
999728643 1600 0
999728643 1700 0
999728643 1800 0
999728643 1900 0
999728643 2000 0
992274188 100 0
992274188 200 0
992274188 300 0
992274188 400 0
992274188 500 0
992506721 600 0
992506721 700 0
992506721 800 0
992506721 900 0
992506721 1000 0
992506721 1100 0
997689697 1200 0
997689697 1300 0
997689697 1400 0
997689697 1500 0
997689697 1600 0
997689697 1700 0
997689697 1800 0
999057935 1900 0
999248333 2000 0
995816968 100 0
997592826 200 0
997592826 300 0
997592826 400 0
997592826 500 0
999526610 600 0
999526610 700 0
999526610 800 0
999526610 900 0
999526610 1000 0
999526610 1100 0
999526610 1200 0
999526610 1300 0
999526610 1400 0
999526610 1500 0
999526610 1600 0
999526610 1700 0
999526610 1800 0
999526610 1900 0
999526610 2000 0
Normal copy&= test...999978170 2100 0
999695902 2099 0
999125452 2098 0
998647558 2097 0
998318778 2096 0
998294892 2095 0
997257845 2094 0
996968740 2093 0
996955629 2092 0
995414877 2091 0
999194025 2190 0
998505026 2189 0
994764380 2188 0
993821835 2187 0
993564892 2186 0
993411094 2185 0
993337990 2184 0
989971433 2183 0
989695853 2182 0
989109013 2181 0
999978170 2100 0
999695902 2099 0
999125452 2098 0
998647558 2097 0
998318778 2096 0
998294892 2095 0
997257845 2094 0
996955629 2093 0
995414877 2092 0
994481585 2091 0
993821835 2190 0
993564892 2189 0
993337990 2188 0
990836789 2187 0
989695853 2186 0
989109013 2185 0
988821962 2184 0
988516017 2183 0
987536948 2182 0
987163675 2181 0
999978170 2100 0
999695902 2099 0
999125452 2098 0
998647558 2097 0
998318778 2096 0
998294892 2095 0
997257845 2094 0
997046486 2093 0
996955629 2092 0
995414877 2091 0
998430519 2190 0
993821835 2189 0
993564892 2188 0
993337990 2187 0
990078347 2186 0
989695853 2185 0
989109013 2184 0
988821962 2183 0
988516017 2182 0
987536948 2181 0
999978170 2100 0
999695902 2099 0
999125452 2098 0
998647558 2097 0
998318778 2096 0
998294892 2095 0
997257845 2094 0
996955629 2093 0
995414877 2092 0
993821835 2091 0
998711886 2190 0
993609666 2189 0
993564892 2188 0
993337990 2187 0
990189463 2186 0
989695853 2185 0
989109013 2184 0
988821962 2183 0
988516017 2182 0
987849359 2181 0
999978170 2100 0
999695902 2099 0
999125452 2098 0
998647558 2097 0
998318778 2096 0
998294892 2095 0
997257845 2094 0
996955629 2093 0
995414877 2092 0
993821835 2091 0
993564892 2190 0
993337990 2189 0
989695853 2188 0
989109013 2187 0
988821962 2186 0
988516017 2185 0
987536948 2184 0
987163675 2183 0
986968956 2182 0
986827090 2181 0
999857288 2100 0
999616351 2099 0
998368834 2098 0
997873176 2097 0
997765653 2096 0
997408365 2095 0
997155472 2094 0
996624988 2093 0
996554897 2092 0
995752997 2091 0
994620752 2190 0
993501204 2189 0
992995909 2188 0
992694883 2187 0
991833398 2186 0
991623234 2185 0
991366167 2184 0
990890750 2183 0
990418342 2182 0
990115872 2181 0
999857288 2100 0
999616351 2099 0
998368834 2098 0
997873176 2097 0
997765653 2096 0
997408365 2095 0
997155472 2094 0
996624988 2093 0
996554897 2092 0
995752997 2091 0
994620752 2190 0
993544580 2189 0
993501204 2188 0
992995909 2187 0
992694883 2186 0
991833398 2185 0
991623234 2184 0
991366167 2183 0
990418342 2182 0
990115872 2181 0
999857288 2100 0
999616351 2099 0
998368834 2098 0
997873176 2097 0
997765653 2096 0
997408365 2095 0
997155472 2094 0
996624988 2093 0
996554897 2092 0
995752997 2091 0
994620752 2190 0
993501204 2189 0
992995909 2188 0
992694883 2187 0
991833398 2186 0
991623234 2185 0
991366167 2184 0
990418342 2183 0
990115872 2182 0
989916886 2181 0
999857288 2100 0
999616351 2099 0
998368834 2098 0
997873176 2097 0
997765653 2096 0
997408365 2095 0
997155472 2094 0
997131146 2093 0
996624988 2092 0
996554897 2091 0
999339046 2190 0
995752997 2189 0
994620752 2188 0
993501204 2187 0
992995909 2186 0
992694883 2185 0
991833398 2184 0
991668588 2183 0
991623234 2182 0
991366167 2181 0
999857288 2100 0
999616351 2099 0
998368834 2098 0
997873176 2097 0
997765653 2096 0
997408365 2095 0
997155472 2094 0
997040842 2093 0
996624988 2092 0
996554897 2091 0
995752997 2190 0
994620752 2189 0
993501204 2188 0
992995909 2187 0
992694883 2186 0
991833398 2185 0
991623234 2184 0
991366167 2183 0
990418342 2182 0
990115872 2181 0
998929008 2100 0
998892631 2099 0
998417491 2098 0
997943448 2097 0
997794088 2096 0
997737909 2095 0
997348902 2094 0
996520774 2093 0
995870736 2092 0
994365434 2091 0
993620204 2190 0
993540507 2189 0
992579113 2188 0
992538505 2187 0
992477623 2186 0
991842087 2185 0
991701814 2184 0
991586331 2183 0
991310511 2182 0
990808484 2181 0
998929008 2100 0
998892631 2099 0
998417491 2098 0
998290085 2097 0
997943448 2096 0
997794088 2095 0
997737909 2094 0
997348902 2093 0
996520774 2092 0
995870736 2091 0
