Test Start
Normal test...
982602241 100 0
996868965 200 0
996868965 300 0
998445800 400 0
999728643 500 0
999728643 600 0
999728643 700 0
999728643 800 0
999728643 900 0
999728643 1000 0
999728643 1100 0
999728643 1200 0
999728643 1300 0
999728643 1400 0
999728643 1500 0
999728643 1600 0
999728643 1700 0
999728643 1800 0
999728643 1900 0
999728643 2000 0
999728643 2100 0
999728643 2200 0
999728643 2300 0
999728643 2400 0
999728643 2500 0
999728643 2600 0
999728643 2700 0
999728643 2800 0
999728643 2900 0
999728643 3000 0
999728643 3100 0
999728643 3200 0
999728643 3300 0
999728643 3400 0
999728643 3500 0
999728643 3600 0
999728643 3700 0
999728643 3800 0
999728643 3900 0
999728643 4000 0
999728643 4100 0
999728643 4200 0
999728643 4300 0
999728643 4400 0
999728643 4500 0
999728643 4600 0
999728643 4700 0
999728643 4800 0
999728643 4900 0
999728643 5000 0
999728643 5100 0
999728643 5200 0
999728643 5300 0
999728643 5400 0
999728643 5500 0
999728643 5600 0
999728643 5700 0
999728643 5800 0
999728643 5900 0
999728643 6000 0
999728643 6100 0
999728643 6200 0
999728643 6300 0
999728643 6400 0
999728643 6500 0
999728643 6600 0
999728643 6700 0
999728643 6800 0
999728643 6900 0
999728643 7000 0
999728643 7100 0
999728643 7200 0
999728643 7300 0
999978170 7400 0
999978170 7500 0
999978170 7600 0
999978170 7700 0
999978170 7800 0
999978170 7900 0
999978170 8000 0
999978170 8100 0
999978170 8200 0
999978170 8300 0
999978170 8400 0
999978170 8500 0
999978170 8600 0
999978170 8700 0
999978170 8800 0
999978170 8900 0
999978170 9000 0
999978170 9100 0
999978170 9200 0
999978170 9300 0
999978170 9400 0
999978170 9500 0
999978170 9600 0
999978170 9700 0
999978170 9800 0
999978170 9900 0
999978170 10000 0
984550569 100 0
991623234 200 0
998368834 300 0
998368834 400 0
999616351 500 0
999616351 600 0
999616351 700 0
999616351 800 0
999616351 900 0
999616351 1000 0
999616351 1100 0
999616351 1200 0
999616351 1300 0
999616351 1400 0
999616351 1500 0
999616351 1600 0
999616351 1700 0
999616351 1800 0
999616351 1900 0
999616351 2000 0
999616351 2100 0
999616351 2200 0
999616351 2300 0
999616351 2400 0
999616351 2500 0
999616351 2600 0
999616351 2700 0
999616351 2800 0
999616351 2900 0
999616351 3000 0
999616351 3100 0
999616351 3200 0
999616351 3300 0
999616351 3400 0
999616351 3500 0
999616351 3600 0
999616351 3700 0
999616351 3800 0
999616351 3900 0
999616351 4000 0
999616351 4100 0
999616351 4200 0
999616351 4300 0
999616351 4400 0
999616351 4500 0
999902949 4600 0
999902949 4700 0
999902949 4800 0
999902949 4900 0
999902949 5000 0
999902949 5100 0
999902949 5200 0
999902949 5300 0
999902949 5400 0
999902949 5500 0
999902949 5600 0
999902949 5700 0
999902949 5800 0
999902949 5900 0
999902949 6000 0
999902949 6100 0
999902949 6200 0
999902949 6300 0
999902949 6400 0
999902949 6500 0
999902949 6600 0
999979960 6700 0
999979960 6800 0
999979960 6900 0
999979960 7000 0
999979960 7100 0
999979960 7200 0
999979960 7300 0
999979960 7400 0
999979960 7500 0
999979960 7600 0
999979960 7700 0
999979960 7800 0
999979960 7900 0
999979960 8000 0
999979960 8100 0
999979960 8200 0
999979960 8300 0
999979960 8400 0
999979960 8500 0
999979960 8600 0
999979960 8700 0
999979960 8800 0
999979960 8900 0
999979960 9000 0
999979960 9100 0
999979960 9200 0
999979960 9300 0
999979960 9400 0
999979960 9500 0
999979960 9600 0
999979960 9700 0
999979960 9800 0
999979960 9900 0
999979960 10000 0
993252810 100 0
993252810 200 0
996050610 300 0
996050610 400 0
996050610 500 0
996050610 600 0
996050610 700 0
998758576 800 0
998758576 900 0
998758576 1000 0
998758576 1100 0
999901128 1200 0
999901128 1300 0
999901128 1400 0
999901128 1500 0
999901128 1600 0
999901128 1700 0
999901128 1800 0
999901128 1900 0
999901128 2000 0
999901128 2100 0
999901128 2200 0
999901128 2300 0
999901128 2400 0
999901128 2500 0
999926240 2600 0
999926240 2700 0
999926240 2800 0
999926240 2900 0
999926240 3000 0
999926240 3100 0
999981689 3200 0
999981689 3300 0
999981689 3400 0
999981689 3500 0
999981689 3600 0
999981689 3700 0
999981689 3800 0
999981689 3900 0
999981689 4000 0
999981689 4100 0
999981689 4200 0
999981689 4300 0
999981689 4400 0
999981689 4500 0
999981689 4600 0
999981689 4700 0
999981689 4800 0
999981689 4900 0
999981689 5000 0
999981689 5100 0
999981689 5200 0
999981689 5300 0
999981689 5400 0
999981689 5500 0
999981689 5600 0
999981689 5700 0
999981689 5800 0
999981689 5900 0
999981689 6000 0
999981689 6100 0
999981689 6200 0
999981689 6300 0
999981689 6400 0
999981689 6500 0
999981689 6600 0
999981689 6700 0
999981689 6800 0
999981689 6900 0
999981689 7000 0
999981689 7100 0
999981689 7200 0
999981689 7300 0
999981689 7400 0
999981689 7500 0
999981689 7600 0
999981689 7700 0
999981689 7800 0
999981689 7900 0
999981689 8000 0
999981689 8100 0
999981689 8200 0
999981689 8300 0
999981689 8400 0
999981689 8500 0
999981689 8600 0
999981689 8700 0
999981689 8800 0
999981689 8900 0
999981689 9000 0
999981689 9100 0
